,index,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_2,EXT_SOURCE_3,YEARS_BEGINEXPLUATATION_AVG,FLOORSMAX_AVG,LIVINGAREA_AVG,YEARS_BEGINEXPLUATATION_MODE,FLOORSMAX_MODE,LIVINGAREA_MODE,YEARS_BEGINEXPLUATATION_MEDI,FLOORSMAX_MEDI,LIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,DAYS_EMPLOYED_PERC,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_VAR,BURO_DAYS_CREDIT_ENDDATE_MIN,BURO_DAYS_CREDIT_ENDDATE_MAX,BURO_DAYS_CREDIT_ENDDATE_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_CREDIT_DAY_OVERDUE_MAX,BURO_CREDIT_DAY_OVERDUE_MEAN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,BURO_AMT_CREDIT_SUM_MAX,BURO_AMT_CREDIT_SUM_MEAN,BURO_AMT_CREDIT_SUM_SUM,BURO_AMT_CREDIT_SUM_DEBT_MAX,BURO_AMT_CREDIT_SUM_DEBT_MEAN,BURO_AMT_CREDIT_SUM_DEBT_SUM,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,BURO_AMT_CREDIT_SUM_LIMIT_MEAN,BURO_AMT_CREDIT_SUM_LIMIT_SUM,BURO_CNT_CREDIT_PROLONG_SUM,BURO_MONTHS_BALANCE_SIZE_SUM,PREV_AMT_ANNUITY_MIN,PREV_AMT_ANNUITY_MAX,PREV_AMT_ANNUITY_MEAN,PREV_AMT_APPLICATION_MIN,PREV_AMT_APPLICATION_MAX,PREV_AMT_APPLICATION_MEAN,PREV_AMT_CREDIT_MIN,PREV_AMT_CREDIT_MAX,PREV_AMT_CREDIT_MEAN,PREV_APP_CREDIT_PERC_MIN,PREV_APP_CREDIT_PERC_MAX,PREV_APP_CREDIT_PERC_MEAN,PREV_APP_CREDIT_PERC_VAR,PREV_AMT_DOWN_PAYMENT_MIN,PREV_AMT_DOWN_PAYMENT_MAX,PREV_AMT_DOWN_PAYMENT_MEAN,PREV_AMT_GOODS_PRICE_MIN,PREV_AMT_GOODS_PRICE_MAX,PREV_AMT_GOODS_PRICE_MEAN,PREV_HOUR_APPR_PROCESS_START_MIN,PREV_HOUR_APPR_PROCESS_START_MAX,PREV_HOUR_APPR_PROCESS_START_MEAN,PREV_RATE_DOWN_PAYMENT_MIN,PREV_RATE_DOWN_PAYMENT_MAX,PREV_RATE_DOWN_PAYMENT_MEAN,PREV_DAYS_DECISION_MIN,PREV_DAYS_DECISION_MAX,PREV_DAYS_DECISION_MEAN,PREV_CNT_PAYMENT_MEAN,PREV_CNT_PAYMENT_SUM,POS_MONTHS_BALANCE_MAX,POS_MONTHS_BALANCE_MEAN,POS_MONTHS_BALANCE_SIZE,POS_SK_DPD_MAX,POS_SK_DPD_MEAN,POS_SK_DPD_DEF_MAX,POS_SK_DPD_DEF_MEAN,POS_COUNT,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,INSTAL_DPD_MAX,INSTAL_DPD_MEAN,INSTAL_DPD_SUM,INSTAL_DBD_MAX,INSTAL_DBD_MEAN,INSTAL_DBD_SUM,INSTAL_PAYMENT_PERC_MAX,INSTAL_PAYMENT_PERC_MEAN,INSTAL_PAYMENT_PERC_SUM,INSTAL_PAYMENT_PERC_VAR,INSTAL_PAYMENT_DIFF_MAX,INSTAL_PAYMENT_DIFF_MEAN,INSTAL_PAYMENT_DIFF_SUM,INSTAL_PAYMENT_DIFF_VAR,INSTAL_AMT_INSTALMENT_MAX,INSTAL_AMT_INSTALMENT_MEAN,INSTAL_AMT_INSTALMENT_SUM,INSTAL_AMT_PAYMENT_MIN,INSTAL_AMT_PAYMENT_MAX,INSTAL_AMT_PAYMENT_MEAN,INSTAL_AMT_PAYMENT_SUM,INSTAL_DAYS_ENTRY_PAYMENT_MAX,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,INSTAL_DAYS_ENTRY_PAYMENT_SUM,INSTAL_COUNT
13,13.0,0.0,0.0,1.0,1.0,1.0,225000.0,918468.0,28966.5,697500.0,0.016612,-14086.0,-3028.0,-643.0,-4911.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5669066132460429,0.7700870700124128,0.9806,0.3333,0.1397,0.9806,0.3333,0.1456,0.9806,0.3333,0.1422,0.1417,0.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2149652136873491,0.2449731509426566,75000.0,0.12874,0.0315378434523576,-2881.0,-909.0,-1944.3333333333333,538712.6666666667,-2546.0,197.0,-1512.3333333333333,-1594.3333333333333,0.0,0.0,0.0,315000.0,143295.0,859770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11783.52,16967.295,14375.4075,158040.0,195291.0,176665.5,152721.0,198409.5,175565.25,0.984282506634007,1.034828216158878,1.0095553613964423,0.0012774343756863,15804.0,22500.0,19152.0,158040.0,195291.0,176665.5,15.0,18.0,16.5,0.1021331715013958,0.1109257205079249,0.1065294460046603,-2441.0,-612.0,-1526.5,17.0,34.0,-1.0,-33.38709677419355,31.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,24.0,10.866666666666667,326.0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,16967.295,13508.9205,405267.615,11783.52,16967.295,13508.9205,405267.615,-21.0,-962.5333333333332,-28876.0,30.0
22,22.0,0.0,1.0,0.0,1.0,1.0,450000.0,497520.0,32521.5,450000.0,0.020713,-11146.0,-4306.0,-114.0,-2518.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457142971588935,0.3589512285783967,0.9786,0.1667,0.0873,0.9786,0.1667,0.091,0.9786,0.1667,0.0889,0.0696,0.0,0.0,0.0,0.0,-468.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3863269334290328,0.9044862518089724,150000.0,0.07227,0.0653672214182344,-1644.0,-148.0,-679.0,700771.0,217.0,1581.0,899.0,-314.6666666666667,0.0,0.0,0.0,2700000.0,1875000.0,5625000.0,2542576.5,1738907.19,3477814.38,0.0,0.0,0.0,0.0,0.0,23608.485,42778.845,33193.665,0.0,675000.0,269115.0,0.0,744498.0,292281.0,0.9066511931529702,1.0,0.9533255965764852,0.004356999869882,0.0,0.0,0.0,132345.0,675000.0,403672.5,6.0,12.0,8.333333333333334,0.0,0.0,0.0,-1427.0,-152.0,-682.3333333333334,21.0,42.0,-12.0,-32.90909090909091,11.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,17.0,9.375,75.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,770004.315,119294.595,954356.76,23531.175,770004.315,119294.595,954356.76,-425.0,-1105.875,-8847.0,8.0
25,25.0,0.0,1.0,0.0,0.0,0.0,90000.0,225000.0,11074.5,225000.0,0.028663,-19334.0,-3494.0,-2419.0,-2893.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6514056365297631,0.4614823912998385,0.9781,0.1667,0.067,0.9782,0.1667,0.0698,0.9781,0.1667,0.0682,0.0533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1807179062790938,0.4,45000.0,0.12305,0.04922,-1547.0,-418.0,-930.8333333333334,199461.36666666667,-1173.0,1409.0,-61.6,-411.1666666666667,0.0,0.0,0.0,508500.0,107238.495,643430.97,432301.5,75273.75,451642.5,0.0,4276.005,25656.03,0.0,0.0,2826.45,9035.685,4731.04125,17055.0,47241.0,33497.26875,15349.5,49734.0,32534.64375,0.9498733260948244,1.2005795235028975,1.0403155152442547,0.0054797978626877,0.0,6714.0,1262.625,17055.0,47241.0,33497.26875,7.0,16.0,12.5,0.0,0.2109194751250825,0.0448038956543629,-2856.0,-378.0,-1981.0833333333333,8.625,69.0,-7.0,-55.21428571428572,14.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,35.0,21.83333333333333,131.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,17846.145,11820.645,70923.87,9035.685,17846.145,11820.645,70923.87,-233.0,-730.6666666666666,-4384.0,6.0
32,32.0,0.0,1.0,0.0,1.0,0.0,90000.0,199008.0,20893.5,180000.0,0.010032,-12974.0,-4404.0,-7123.0,-4464.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5594667916353414,0.7981372313187245,0.9801,0.1667,0.0602,0.9801,0.1667,0.0627,0.9801,0.1667,0.0613,0.0684,0.0,0.0,0.0,0.0,-2766.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3394481270232773,0.4522431259044862,45000.0,0.23215,0.1049882416787264,-2761.0,-1247.0,-1812.875,270968.41071428574,-2608.0,-1063.0,-1696.428571428571,-1544.625,0.0,0.0,0.0,108000.0,74016.5625,592132.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,5305.995,25595.82,17011.764,38385.0,157500.0,130142.7,45720.0,188640.0,140661.0,0.8157204198473282,1.0187650010909883,0.9190061122348018,0.0083735632496972,0.0,8824.5,2689.875,38385.0,157500.0,130142.7,5.0,11.0,7.4,0.0,0.0627374206194487,0.0267398105587595,-2612.0,-539.0,-1186.2,10.8,54.0,-7.0,-43.5,26.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,63.0,18.318181818181817,403.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,35172.135,19217.56909090909,422786.52,5305.995,35172.135,19217.56909090909,422786.52,-235.0,-1247.409090909091,-27443.0,22.0
35,35.0,0.0,1.0,0.0,1.0,0.0,112500.0,450000.0,44509.5,450000.0,0.008575,-12158.0,-1275.0,-6265.0,-2009.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631580756296298,0.6785676886853644,0.9861,0.1667,0.0582,0.9861,0.1667,0.0606,0.9861,0.1667,0.0592,0.0749,0.0,0.0,0.0,0.0,-1285.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1048692219114986,0.25,56250.0,0.39564,0.09891,-2890.0,-66.0,-1292.5384615384614,866597.7692307691,-2678.0,117.0,-969.1538461538462,-992.8461538461538,0.0,0.0,769.365,180000.0,63254.24307692308,822305.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3268.485,7297.515,5283.0,15516.0,58486.5,37001.25,16285.5,64278.0,40281.75,0.9098991879025484,0.9527493782812932,0.9313242830919208,0.0009180694077473,0.0,0.0,0.0,15516.0,58486.5,37001.25,12.0,14.0,13.0,0.0,0.0,0.0,-2701.0,-1508.0,-2104.5,9.0,18.0,-36.0,-56.66666666666666,21.0,25.0,1.1904761904761905,0.0,0.0,21.0,1.0,46.0,5.1,102.0,196.0,39.9,798.0,1.0,0.9,18.0,0.081027223322327,7176.285,730.20825,14604.165,4321074.992695462,7306.65,6089.499,121789.98,130.365,7297.515,5359.29075,107185.815,-1101.0,-1722.7,-34454.0,20.0
40,40.0,1.0,0.0,0.0,0.0,0.0,202500.0,1193580.0,35028.0,855000.0,0.025164,-17482.0,-1262.0,-1182.0,-1029.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306840586048305,0.3201633668633456,0.996,0.25,0.1267,0.996,0.25,0.132,0.996,0.25,0.129,0.1463,0.0,0.0,0.0,0.0,-1075.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0721885367806887,0.1696576685266174,101250.0,0.1729777777777777,0.0293470064846931,-2055.0,-420.0,-1104.8,361218.7,-960.0,4284.0,1301.0,-444.6,0.0,0.0,6759.3375,4045500.0,1905526.8,9527634.0,2528203.5,805114.125,3220456.5,0.0,0.0,0.0,0.0,0.0,4586.895,31674.87,16749.915,0.0,675000.0,242617.5,34384.5,744498.0,338818.5,0.0,1.1111111111111112,0.7841142624891245,0.167887361447195,3820.5,3820.5,3820.5,38205.0,675000.0,291141.0,11.0,15.0,12.833333333333334,0.1089090909090909,0.1089090909090909,0.1089090909090909,-2634.0,-1072.0,-1432.0,23.666666666666668,142.0,-38.0,-62.0,22.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,11.0,4.1,82.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,122628.285,13427.379,268547.58,4577.94,122628.285,13427.379,268547.58,-1172.0,-1888.1,-37762.0,20.0
51,51.0,0.0,0.0,1.0,0.0,1.0,540000.0,675000.0,34596.0,675000.0,0.026392,-18632.0,-6977.0,-3904.0,-1937.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7133545848531052,0.3092753558842053,0.9811,0.4583,0.5878,0.9811,0.4583,0.6124,0.9811,0.4583,0.5983,0.5149,2.0,0.0,2.0,0.0,-1285.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.3744632889652211,0.8,180000.0,0.0640666666666666,0.0512533333333333,-1343.0,-194.0,-639.4,195557.3,-612.0,638.0,-154.4,-306.6,0.0,0.0,8543.97,1624500.0,431493.84,2157469.2,980784.0,196156.8,980784.0,0.0,0.0,0.0,0.0,65.0,4500.0,145794.6,25907.20269230769,0.0,1305000.0,186235.56,0.0,1305000.0,225695.225,0.1052631578947368,1.533043310131477,1.0025570495103515,0.0865966161058297,0.0,28341.0,6202.67,35680.05,1305000.0,239445.72,12.0,19.0,15.88888888888889,0.0,0.3998890123568022,0.0880306409761895,-2808.0,-213.0,-1106.5,12.461538461538462,162.0,-2.0,-25.45833333333333,24.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,31.0,14.36842105263158,273.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,416819.61,68871.62842105264,1308560.94,5621.355,416819.61,68871.62842105264,1308560.94,-70.0,-704.3157894736842,-13382.0,19.0
93,93.0,0.0,1.0,1.0,1.0,1.0,112500.0,862560.0,27954.0,720000.0,0.0228,-10485.0,-1249.0,-4628.0,-3110.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608604105963283,0.228883416700673,0.9876,0.3333,0.2675,0.9876,0.3333,0.2787,0.9876,0.3333,0.2723,0.2576,1.0,0.0,1.0,0.0,-1234.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1191225560324272,0.1304257095158597,37500.0,0.24848,0.0324081803005008,-2257.0,-270.0,-859.4166666666666,495906.8106060606,-1890.0,9233.0,696.0,-474.9166666666667,0.0,0.0,4774.0,900000.0,208818.47625,2505821.715,62406.81,13009.03875,104072.31,0.0,8190.642857142857,57334.5,1.0,0.0,5292.45,14997.015,10262.19,44991.0,149985.0,90984.6825,45351.0,144513.0,91563.75,0.9044964812854208,1.1111111111111112,0.9924382593684462,0.005804980924377,0.0,14998.5,5589.6825,44991.0,149985.0,90984.6825,13.0,18.0,15.666666666666666,0.0,0.1089090909090909,0.0639763654987494,-2233.0,-621.0,-1482.3333333333333,11.0,66.0,-17.0,-44.08108108108108,37.0,0.0,0.0,0.0,0.0,37.0,2.0,6.0,0.3529411764705882,12.0,85.0,16.352941176470587,556.0,1.0,0.9411764705882352,32.0,0.0284033438798394,8400.825,576.9833823529411,19617.435,3317464.877252607,116659.62,15324.858529411766,521045.19,1897.65,116659.62,14747.875147058823,501427.755,-508.0,-1389.5,-47243.0,34.0
104,104.0,0.0,1.0,0.0,1.0,0.0,103500.0,675000.0,19737.0,675000.0,0.020246,-23719.0,-8466.0,-3917.0,-4036.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3993660764222056,0.6738300778602003,0.9732,0.1667,0.0308,0.9732,0.1667,0.0321,0.9732,0.1667,0.0313,0.0396,0.0,0.0,0.0,0.0,-1689.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3569290442261478,0.1533333333333333,103500.0,0.190695652173913,0.02924,-2508.0,-62.0,-1618.8333333333333,1149658.9666666666,-2353.0,1366.0,-1007.5,-1231.0,0.0,0.0,0.0,461842.11,203962.185,1223773.11,390329.955,87881.24250000001,527287.4550000001,0.0,0.0,0.0,0.0,0.0,4674.78,20035.845,11173.55625,67500.0,342000.0,168971.625,76410.0,373599.0,190147.5,0.8347245409015025,0.9154200091542,0.8858583622186269,0.0013574936161758,0.0,0.0,0.0,67500.0,342000.0,168971.625,13.0,13.0,13.0,0.0,0.0,0.0,-1689.0,-846.0,-1084.5,24.0,96.0,-5.0,-24.93548387096774,62.0,0.0,0.0,0.0,0.0,62.0,2.0,0.0,0.0,0.0,31.0,10.52542372881356,621.0,1.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,20035.845,12219.286271186442,720937.89,4674.78,20035.845,12219.286271186442,720937.89,-164.0,-740.3898305084746,-43683.0,59.0
119,119.0,0.0,1.0,0.0,1.0,1.0,157500.0,302341.5,24016.5,261000.0,0.010276,-13286.0,-2305.0,-6685.0,-4955.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6014083651352106,0.0963186927645401,0.9866,0.1667,0.0898,0.9866,0.1667,0.0936,0.9866,0.1667,0.0915,0.086,6.0,0.0,6.0,0.0,-1868.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.1734908926689748,0.5209341092770923,52500.0,0.1524857142857142,0.0794350097489097,-1252.0,-215.0,-733.5,537684.5,-29.0,-29.0,-29.0,-20.0,0.0,0.0,668.25,337500.0,189627.75,379255.5,334089.0,167044.5,334089.0,0.0,0.0,0.0,0.0,16.0,2958.3,19138.095,10411.135714285714,0.0,314100.0,62860.09090909091,0.0,282690.0,77539.09090909091,0.0,1.1111111111111112,0.9002925729351705,0.1086918165467594,0.0,31410.0,5900.142857142857,14805.0,314100.0,76829.0,10.0,17.0,13.181818181818182,0.0,0.1089090909090909,0.0605151205412453,-2592.0,-217.0,-1655.0,12.0,84.0,-1.0,-39.457142857142856,35.0,26.0,0.7428571428571429,26.0,0.7428571428571429,35.0,3.0,29.0,1.4097222222222223,203.0,36.0,5.729166666666667,825.0,1.0,0.9583333333333334,138.0,0.0304317329168812,17457.795000000002,360.15906250000006,51862.905000000006,3314578.8553622267,264667.5,13152.8740625,1894013.865,140.4,264667.5,12792.715,1842150.96,-15.0,-1159.4166666666667,-166956.0,144.0
